s_store_sk|s_store_id|s_rec_start_date|s_rec_end_date|s_closed_date_sk|s_store_name|s_number_employees|s_floor_space|s_hours|s_manager|s_market_id|s_geography_class|s_market_desc|s_market_manager|s_division_id|s_division_name|s_company_id|s_company_name|s_street_number|s_street_name|s_street_type|s_suite_number|s_city|s_county|s_state|s_zip|s_country|s_gmt_offset|s_tax_precentage|remrk
11|AAAAAAAAKAAAAAAA|1999-03-14|2001-03-12||ought|294|9294113|8AM-4PM|Raymond Jacobs|6|Unknown|Mysterious employe|Michael Wilson|1|Unknown|1|Unknown|175|Park Green|Court|Suite 160|Midway|Williamson County|TN|31904|United States|-5|0.11|
12|AAAAAAAAKAAAAAAA|2001-03-13|||ought|294|5219562|8AM-12AM|Robert Thompson|6|Unknown|Events develop i|Dustin Kelly|1|Unknown|1|Unknown|337|College |Boulevard|Suite 100|Fairview|Williamson County|TN|31904|United States|-5|0.01|
13|AAAAAAAANAAAAAAA|1997-03-13|||pri|219|8157564|8AM-12AM|John Mccoy|2|Unknown|As modern fields say more than beside a initiatives. Times m|Roger Nichols|1|Unknown|1|Unknown|84|First |Cir.|Suite 180|Midway|Williamson County|TN|31904|United States|-5|0.07|
14|AAAAAAAAOAAAAAAA|1997-03-13|2000-03-12||ese|291|8724265|8AM-4PM|Ricky Nichols|1|Unknown|Products demonstrate units. Separate ways might not grow gradually fea|Jamie Dorsey|1|Unknown|1|Unknown|408|Washington 1st|Circle|Suite 390|Midway|Williamson County|TN|31904|United States|-5|0.06|
15|AAAAAAAAOAAAAAAA|2000-03-13|||anti|291|8724265|8AM-4PM|Matt Frederick|1|Unknown|Products demonstrate units. Separate ways might not grow gradually fea|Michael Redding|1|Unknown|1|Unknown|408|Franklin Hill|Boulevard|Suite 20|Midway|Williamson County|TN|31904|United States|-5|0.06|
16|AAAAAAAAABAAAAAA|1997-03-13|1999-03-13||cally|220|5633347|8AM-12AM|Wayne Coleman|5|Unknown|Basically raw workers see even twins; clinical, strong parts cannot cut shortly l|Richard Bell|1|Unknown|1|Unknown|588|View Mill|Court|Suite 160|Midway|Williamson County|TN|31904|United States|-5|0.08|
17|AAAAAAAAABAAAAAA|1999-03-14|2001-03-12||ation|220|5633347|8AM-8AM|Franklin Mcclure|5|Unknown|Ostensibly short issues get in the patients. Urgently eventual schools ma|Richard Bell|1|Unknown|1|Unknown|588|Washington |Cir.|Suite 170|Fairview|Williamson County|TN|31904|United States|-5|0.08|
18|AAAAAAAAABAAAAAA|2001-03-13|||eing|256|7963229|8AM-4PM|Scott Mclaughlin|9|Unknown|Away underlying databases would get possibly. Safe eyes attract in a changes; medical, |Richard Bell|1|Unknown|1|Unknown|588|Sixth |Lane|Suite 20|Midway|Williamson County|TN|31904|United States|-5|0.07|
19|AAAAAAAADBAAAAAA|1997-03-13||2451267|n st|289|8618762|8AM-4PM|Alva Abner|3|Unknown|Different, lovely students make|David Smith|1|Unknown|1|Unknown|240|Willow |RD|Suite 280|Fairview|Williamson County|TN|35709|United States|-5|0.01|
20|AAAAAAAAEBAAAAAA|1997-03-13|2000-03-12||bar|278|7449959|8AM-4PM|Brian Norris|9|Unknown|Local, high faces used to follow heavy roads|Dennis Glass|1|Unknown|1|Unknown|200|Lake |RD|Suite 320|Midway|Williamson County|TN|31904|United States|-5|0.05|
21|AAAAAAAAEBAAAAAA|2000-03-13|||ought|278|5893321|8AM-4PM|Jerry Brooks|5|Unknown|Round, common miles might not escape else video-taped, organic scho|Dennis Glass|1|Unknown|1|Unknown|200|Washington |Cir.|Suite 280|Fairview|Williamson County|TN|35709|United States|-5|0.03|
22|AAAAAAAAGBAAAAAA|1997-03-13|1999-03-13||able|228|7702992|8AM-4PM|Leroy Walker|5|Unknown|Uses co-ordinate prices. Financial, other plans could not use al|James Irvin|1|Unknown|1|Unknown|479|Park First|Lane|Suite 20|Midway|Williamson County|TN|31904|United States|-5|0.02|
