sr_returned_date_sk|sr_return_time_sk|sr_item_sk|sr_customer_sk|sr_cdemo_sk|sr_hdemo_sk|sr_addr_sk|sr_store_sk|sr_reason_sk|sr_ticket_number|sr_return_quantity|sr_return_amt|sr_return_tax|sr_return_amt_inc_tax|sr_fee|sr_return_ship_cost|sr_refunded_cash|sr_reversed_charge|sr_store_credit|sr_net_loss|remrk
2451277|40485|16724|16935|1685822|6158|50494|10|9|22|17|35.02|0.00|35.02|22.87|195.16|14.35|2.68|17.99|218.03|
2451231|29254|17320|16935|1247881|5718|51555|22|21|22|6|113.94|9.11|123.05|66.52|53.40|37.60|57.25|19.09|129.03|
2452771|51900|21864|17669|1890707|5392|50030|22|22|23|80|5883.20|294.16|6177.36|52.40|2848.80|4824.22|328.28|730.70|3195.36|
2452213|40442|22743|103069|1359322|2796|26270|16|11|24|11|28.49|0.00|28.49|69.29|29.81|6.26|1.33|20.90|99.10|
2452305|60624|8621|103069|1553144|6578|30765|20|30|24|78|1099.02|54.95|1153.97|27.69|328.38|1033.07|58.03|7.92|411.02|
2451053|35984|17522|118838|1564003|1743|29883|4|15|25|18|42.12|2.52|44.64|57.38|6.12|37.48|2.04|2.60|66.02|
2451079|50088|8056|118838|77813|3196|40932|4|18|25|39|772.59|46.35|818.94|28.93|178.23|347.66|50.99|373.94|253.51|
2451966|49139|11547|52780|637321|1532|36590|14|19|27|84|382.20|0.00|382.20|97.85|154.56|259.89|13.45|108.86|252.41|
2451964|49463|6747|52780|178335|4892|71896|8|1|27|22|59.84|1.79|61.63|38.22|137.72|43.68|6.62|9.54|177.73|
2451259|35185|18926|86631|1723855|885|3868|10|8|29|6|5.04|0.45|5.49|85.50|15.96|3.83|0.03|1.18|101.91|
2451174|32214|15853|86631|135738|5274|70010|19|25|29|22|41.80|3.76|45.56|18.82|985.16|17.13|24.17|0.50|1007.74|
2451983|33769|5783|50120|222350|2461|18125|7|27|32|41|2092.23|167.37|2259.60|14.26|987.28|941.50|149.59|1001.14|1168.91|
2451392|48895|20917|99971|934775|429|14883|16|15|34|13|208.78|16.70|225.48|77.95|223.73|198.34|3.65|6.79|318.38|
2452196|33535|7145|117958|539558|6809|107|19|4|35|60|144.00|0.00|144.00|36.15|2167.20|87.84|39.87|16.29|2203.35|
2452306|40321|13579|52008|1243218|3988|22711|8|20|36|45|999.45|79.95|1079.40|29.51|35.10|499.72|439.76|59.97|144.56|
2452317|53999|10665|52008|882385|||2|17|36|||3.49||||7.49|13.58|||
2452279|41984|11631|133722|465142|3315|62735|13|27|36|7|541.31|43.30|584.61|71.10|241.36|519.65|10.18|11.48|355.76|
2452128|30131|24977|140252|491912|5028|58144|14|36|37|85|8562.90|513.77|9076.67|8.17|366.35|4195.82|3493.66|873.42|888.29|
2451271|44173|24980|63890|1681246|5780|40714|13|9|41|17|1327.36|79.64|1407.00|49.73|558.79|66.36|731.38|529.62|688.16|
2451092|43741|1555|37423|1577815|3651|29487|4|15|42|13|422.24|8.44|430.68|48.27|551.20|329.34|15.79|77.11|607.91|
2451033|54994|15782|6229|1611739|3649|51912|10|12|42|43|1240.55|0.00|1240.55|86.84|68.80|719.51|359.51|161.53|155.64|
2451073|52318|16880|78152|134560|4215|62223|4|22|42|13|475.54|9.51|485.05|73.37|317.07|128.39|197.87|149.28|399.95|
2452295|39258|3171|120606|1581204|3389|11621|19|3|45|39|2703.87|243.34|2947.21|59.97|386.10|1487.12|790.88|425.87|689.41|
2451354|60360|11791|58598|194443|4161|35832|19|13|46|47|3742.14|149.68|3891.82|24.47|379.29|3442.76|59.87|239.51|553.44|
|59918|14690|||3068||16||46|38|||453.29|51.61|207.48|104.60|86.12||276.52|
2451177|58870|25816|107903|1256944|382|35373|4|2|47|1|8.12|0.73|8.85|19.08|7.43|3.81|0.77|3.54|27.24|
2452738|29363|24255|76843|1862359|2275|33391|22|24|48|5|199.35|17.94|217.29|11.83|112.95|191.37|0.71|7.27|142.72|
2452745|44637|20538|137202|1047097|5374|65251|7|18|48|10|392.20|27.45|419.65|10.16|116.00|152.95|224.89|14.36|153.61|
2451892|35637|24866|63590|103157|6724|7091|10|13|49|21|496.23|29.77|526.00|48.23|31.92|282.85|142.96|70.42|109.92|
2451769|38709|18925|19517|945253|3357|67061|10|14|51|5|172.10|5.16|177.26|22.72|64.20|170.37|1.59|0.14|92.08|
2451102|32082|16892|85831|173053|4865|44230|19|22|52|13|911.04|0.00|911.04|21.65|378.17|619.50|253.63|37.91|399.82|
2451088|55568|9088|124810|1866272|3734|33196|10|32|52|25|113.50|1.13|114.63|62.63|125.50|30.64|25.68|57.18|189.26|
2451573|36729|7321|55672|508248|5690|29885|4|13|53|1|2.23|0.08|2.31|26.56|1.48|0.20|0.89|1.14|28.12|
2452729|48880|20562|128157|1042828|4295|40162|16|8|54|11|95.48|3.81|99.29|93.36|8.36|34.37|36.05|25.06|105.53|
2452040|43895|23279|129297|869419|5541|26463|16|15|55|11|252.67|12.63|265.30|20.45|63.14|194.55|42.42|15.70|96.22|
2452339|46469|6369|26967|972821|2228|64082|1|31|60|78|2733.90|54.67|2788.57|60.37|0.00|683.47|1558.32|492.11|115.04|
2452254|40433|741|46197|1420275|5589|31703|1|15|62|6|446.76|26.80|473.56|67.62|213.66|58.07|15.54|373.15|308.08|
2452701|35838|11671|24129|305648||13488||32|63|||11.73||||172.06|||568.77|
2452596|29520|6807|24129|1086498|2400|54302|16|11|63|16|78.56|0.00|78.56|96.23|49.60|43.99|21.43|13.14|145.83|
2452604|36240|15924|24129|479318|1264|69610|7|22|63|28|216.16|19.45|235.61|57.17|242.76|108.08|104.83|3.25|319.38|
2452593|55466|5521|100017|145292|437|22782|2|27|64|19|583.49|40.84|624.33|54.92|392.35|280.07|203.29|100.13|488.11|
2452556|56489|24123|100017|492805|2019|32033|13|9|64|34|2325.60|0.00|2325.60|57.60|1987.30|1046.52|575.58|703.50|2044.90|
2452437|54978|624|100017|569529|3161|31193|8|10|64|66|6903.60|0.00|6903.60|76.02|2987.82|6213.24|352.08|338.28|3063.84|
2452346|53160|15513|134766|1603765|4015|19465|22|18|66|15|630.75|25.23|655.98|2.26|336.30|491.98|80.48|58.29|363.79|
2452555|43088|5367|66624|529565|2324|9930|16|12|67|41|594.09|23.76|617.85|40.24|1063.54|160.40|56.37|377.32|1127.54|
2451258|43812|23905|126564|496988|6773|16205|19|3|68|21|178.50|5.35|183.85|96.73|53.76|82.11|75.18|21.21|155.84|
2451256|50305|10468|119942|875823|2104|28738|20|36|71|2|13.48|0.13|13.61|91.25|2.92|6.33|5.14|2.01|94.30|
2451294|44684|8954|133239|1910912|233|46001|19|15|71|25|188.00|16.92|204.92|44.05|51.25|150.40|6.39|31.21|112.22|
2451329|29997|19537|133239|195885|3539|9146|22|22|71|5|164.65|1.64|166.29|75.66|205.80|74.09|12.67|77.89|283.10|
2451829|50278|11365|100602|1271817|6019|9468|8|22|72|3|166.41|1.66|168.07|1.14|64.92|59.90|62.84|43.67|67.72|
2451174|57809|7213|75337|767720|4103|18886|2|13|74|4|36.32|0.00|36.32|38.54|42.96|12.71|6.13|17.48|81.50|
2452279|52274|13735|125531|78088|234|61580|19|24|76|1|76.51|6.88|83.39|66.92|30.28|56.61|19.70|0.20|104.08|
2452242|52421|19489|125531|1630980|4166|45352|1|15|76|15|796.05|31.84|827.89|91.64|176.85|278.61|243.19|274.25|300.33|
2451201|32557|25576|15102|622349|4796|68043|19|29|77|10|569.40|45.55|614.95|45.00|621.20|529.54|19.93|19.93|711.75|
2451155|53923|1510|23529|1758891|3500|71309|13|16|78|13|1077.83|64.66|1142.49|77.87|576.81|506.58|457.00|114.25|719.34|
2452290|54248|987|34017|382863|6073|4483|1|26|79|34|797.64|71.78|869.42|57.39|1296.08|71.78|79.84|646.02|1425.25|
2451154|51844|21895|73368|1254797|4380|67916|7|12|80|64|6830.08|68.30|6898.38|85.70|148.48|6625.17|127.04|77.87|302.48|
2451281|48144|5464|44625|459305|510|24915|13|16|81|22|1416.58|42.49|1459.07|16.86|849.86|1388.24|23.52|4.82|909.21|
2451214|55537|12032|44625|944226|463|41147|14|5|81|5|0.00|0.00|0.00|94.53|24.55|0.00|0.00|0.00|119.08|
2451369||9392|139512||3587||8||82||1491.00||||545.30||735.06||707.47|
2451471|50769|18961|4896|1082287|645|15356|13|30|82|8|847.84|42.39|890.23|40.52|77.04|576.53|208.90|62.41|159.95|
2451533|34774|11546|4896|1427925|1401|7230|19|26|82|43|1399.65|55.98|1455.63|74.63|447.63|839.79|156.76|403.10|578.24|
2452677|50033|12132|110678|842053|5314|62175|1|18|83|21|1151.01|23.02|1174.03|28.22|146.16|115.10|973.75|62.16|197.40|
2452530|44806|6895|45091|1034463|114|40165|1|8|84|5|323.00|19.38|342.38|5.27|171.25|261.63|43.57|17.80|195.90|
2452550|39316|18037|45091|222509|5658|52007|7|21|84|63|1733.76|156.03|1889.79|98.99|1155.42|208.05|671.31|854.40|1410.44|
2452550|56385|8067|45091|1844056|137|13818|22|13|84|52|112.84|0.00|112.84|47.55|130.00|44.00|68.84|0.00|177.55|
2452743|53098|5985|101560|1435175|1237|24452|4|34|86|25|50.00|4.00|54.00|95.65|2.50|29.00|16.38|4.62|102.15|
2452805|37053|15847|116359|705875|2076|23430|22|25|86|12|100.44|3.01|103.45|81.54|343.32|50.22|6.52|43.70|427.87|
2451604||11096||1393955|||||87|17||||35.41||213.43||0.17||
2452317|32925|18517|74272|1361123|1963|60403|13|19|88|34|146.20|0.00|146.20|22.87|1376.66|86.25|23.38|36.57|1399.53|
2452260|58521|1793|53110|341664|7018|16372|19|33|88|70|1168.30|70.09|1238.39|37.61|1168.30|198.61|96.96|872.73|1276.00|
2451907|56892|25039|46994|751267|6036|26052|8|5|89|1|131.14|0.00|131.14|75.40|53.76|111.46|17.51|2.17|129.16|
2452520|42422|24546|94925|1402848|111|33374|1|36|91|5|0.00|0.00|0.00|76.66|291.95|0.00|0.00|0.00|368.61|
