wr_returned_date_sk|wr_returned_time_sk|wr_item_sk|wr_refunded_customer_sk|wr_refunded_cdemo_sk|wr_refunded_hdemo_sk|wr_refunded_addr_sk|wr_returning_customer_sk|wr_returning_cdemo_sk|wr_returning_hdemo_sk|wr_returning_addr_sk|wr_web_page_sk|wr_reason_sk|wr_order_number|wr_return_quantity|wr_return_amt|wr_return_tax|wr_return_amt_inc_tax|wr_fee|wr_return_ship_cost|wr_refunded_cash|wr_reversed_charge|wr_account_credit|wr_net_loss|remrk
2451936|25850|18422|83623|1546796|816|54389|83623|1546796|816|54389|25|27|11|6|708.66|21.25|729.91|25.19|146.10|474.80|144.99|88.87|192.54|
2452508|71077|21107|94010|1589848|6933|4371|94010|1589848|6933|4371|1|34|12|26|528.84|37.01|565.85|90.97|237.12|449.51|23.00|56.33|365.10|
2451590|30553|10192|136036|1376937|2285|1586|136036|1376937|2285|1586|49|22|13|16|417.60|25.05|442.65|22.13|539.36|50.11|128.62|238.87|586.54|
2452495||20177|27758||2243||27758|1696824|||37||14|4||||11.84||9.39||||
2452566|67292|10265|12337|970065|593|70321|12337|970065|593|70321|69|6|14|5|219.85|15.38|235.23|28.94|233.90|147.29|42.81|29.75|278.22|
||10060|||2358||78932|418645|||||15|24||||54.71|62.40||129.49|60.94|143.37|
2452567|26030|25734|86543|1118206|6669|20732|86543|1118206|6669|20732|61|26|16|40|1479.60|103.57|1583.17|4.99|856.80|665.82|219.72|594.06|965.36|
2452569|29129|4548|56888|217580|5919|658|56888|217580|5919|658|9|14|17|10|69.00|6.21|75.21|60.35|19.70|31.05|11.38|26.57|86.26|
2451692|37442|19348|122623|1176118|1613|31108|122623|1176118|1613|31108|44|17|18|11|1628.66|32.57|1661.23|13.11|506.22|1237.78|355.70|35.18|551.90|
2451495|70505|19855|87084|1360384|4437|26537|87084|1360384|4437|26537|13|34|18|23|447.58|17.90|465.48|30.56|302.22|331.20|51.20|65.18|350.68|
2451396|74839|25454|||||94767||3439|47775||34|22|||0.00|||75.90|485.00||||
2451271|72837|25453|95141|718131|2368|55405|95141|718131|2368|55405|58|19|22|30|247.20|9.88|257.08|23.57|717.30|229.89|15.05|2.26|750.75|
2451430||4615|130764||||130764|1060754|5497|||24|22|79||0.00|0.00|92.68|||0.00|0.00||
2452236|23926|8219|22618|8492|4766|71440|22618|8492|4766|71440|1|9|24|9|107.46|3.22|110.68|54.67|33.03|33.31|68.21|5.94|90.92|
2452273|38436|251|17071|1421648|5454|35396|17071|1421648|5454|35396|1|7|24|8|252.08|15.12|267.20|62.43|12.72|133.60|29.62|88.86|90.27|
2451372|50248|10474|94691|813091|5891|1091|94691|813091|5891|1091|13|11|26|77|1088.78|43.55|1132.33|1.05|3811.50|163.31|397.95|527.52|3856.10|
2451514|46416|7822|42970|854030|2690|18550|42970|854030|2690|18550|44|3|26|10|362.50|3.62|366.12|68.99|164.80|290.00|60.17|12.33|237.41|
2451529|45968|15517|116943|58420|2297|3421|116943|58420|2297|3421|20|7|26|35|340.20|13.60|353.80|50.62|453.60|336.79|2.25|1.16|517.82|
2450982|37442|14095|62331|1565742|5600|62258|62331|1565742|5600|62258|49|12|27|4|19.20|1.72|20.92|63.20|41.36|4.60|10.22|4.38|106.28|
2450976|42382|4906|87968|169725|1529|35286|87968|169725|1529|35286|13|16|27|11|380.49|15.21|395.70|76.70|77.66|144.58|11.79|224.12|169.57|
2452492|36787|16583|112839|1060269|5299|37082|112839|1060269|5299|37082|37|31|29|11|400.84|20.04|420.88|16.27|99.11|308.64|18.44|73.76|135.42|
2451423|75368|17971|96553|1687614|2228|29289|96553|1687614|2228|29289|40|25|30|19|168.15|3.36|171.51|94.69|107.54|117.70|42.88|7.57|205.59|
2451476|48229|20714|103962|12631|2900|60369|103962|12631|2900|60369|49|22|30|5|18.20|0.54|18.74|11.66|8.25|2.54|5.79|9.87|20.45|
|43497|10930||1006429|3340|16251|114318|1006429|3340||||32|7|470.26||484.36|99.14||470.26|0.00|||
2451486|253|11431|75754|998787|3867|31347|75754|998787|3867|31347|56|25|32|2|98.40|8.85|107.25|16.33|131.22|51.16|27.87|19.37|156.40|
2451420|61938|15712|65841|1808855|5916|67330|65841|1808855|5916|67330|49|2|32|44|4496.36|314.74|4811.10|5.38|1570.80|4316.50|151.08|28.78|1890.92|
2451622|68694|24812|30758|1477303|5095|40440|30758|1477303|5095|40440|25|8|33|5|1231.20|24.62|1255.82|13.24|580.20|295.48|823.43|112.29|618.06|
2451734|55182|3310|114341|914970|5999|27428|114341|914970|5999|27428|4|14|33|7|88.34|5.30|93.64|24.45|109.27|6.18|6.57|75.59|139.02|
2451697|47575|12853|100237|1089705|4773|3841|100237|1089705|4773|3841|4|15|33|3|164.85|1.64|166.49|3.49|57.06|6.59|137.68|20.58|62.19|
2451615|73881|16747|5870|705124|5978|42032|5870|705124|5978|42032|62|20|34|32|4588.16|183.52|4771.68|51.92|2136.96|917.63|3523.70|146.83|2372.40|
2452120|67792|7843|99039|1600609|4132|70502|99039|1600609|4132|70502|74|34|36|16|496.96|34.78|531.74|71.96|773.12|134.17|261.20|101.59|879.86|
2452135|32975|25583|8233|680344|3655|51766|8233|680344|3655|51766|23|35|36|33|1560.57|0.00|1560.57|73.33|845.46|1201.63|326.63|32.31|918.79|
2452038|60285|4301|68096|1039516|6936|69109|68096|1039516|6936|69109|11|18|36|91|15813.07|632.52|16445.59|65.73|8008.91|13441.10|1352.02|1019.95|8707.16|
2451873|61736|17213|2984|1914824|7017|65257|2984|1914824|7017|65257|19|11|38|54|2243.70|179.49|2423.19|60.32|1075.68|628.23|1373.14|242.33|1315.49|
2451812|17353|4658|99013|691848|1836|44624|99013|691848|1836|44624|56|17|38|11|15.18|0.00|15.18|42.63|5.50|9.71|1.53|3.94|48.13|
2452054|39091|17168|9582|1892903|2624|14392|9582|1892903|2624|14392|8|36|39|27|3078.54|30.78|3109.32|79.71|1835.19|1015.91|453.77|1608.86|1945.68|
2452413|27263|22597|124730|781278|1291|11963|124730|781278|1291|11963|65|19|40|13|1286.22|51.44|1337.66|97.11|95.16|424.45|17.23|844.54|243.71|
2452476|28293|9433|103777|803717|3657|39150|103777|803717|3657|39150|23|6|40|9|103.32|1.03|104.35|31.68|2.79|76.45|7.25|19.62|35.50|
2451905|55597|15125|131775|962709|43|10624|131775|962709|43|10624|26|35|41|56|4452.00|311.64|4763.64|63.92|3368.96|1958.88|797.79|1695.33|3744.52|
2451845|42388|9743|43546|1391011|5229|37847|43546|1391011|5229|37847|25|25|41|29|1387.36|69.36|1456.72|14.34|818.67|194.23|608.49|584.64|902.37|
2451261|73439|17708||||36964||||36964|25||42|||||58.60|192.76|80.02|54.48|39.46||
2452078|22372|11725|66386|435559|2685|34258|66386|435559|2685|34258|74|26|43|58|4257.20|85.14|4342.34|99.74|1530.04|2469.17|1609.22|178.81|1714.92|
2451335|79473|9085|56442|1432457|2425|56840|56442|1432457|2425|56840|56|17|44|13|45.63|3.65|49.28|49.66|0.00|39.24|1.53|4.86|53.31|
2451441|11487|9349|141405|1361990|4975|56407|141405|1361990|4975|56407|25|27|45|43|4438.89|133.16|4572.05|83.51|466.98|532.66|2187.48|1718.75|683.65|
2452105|59457|6227|137913|1423984|4102|57373|137913|1423984|4102|57373|15|28|46|61|704.55|49.31|753.86|33.45|3012.79|295.91|302.39|106.25|3095.55|
2451677|33194|24793|98918|1366834|2750|43819|98918|1366834|2750|43819|62|24|48|9|216.81|17.34|234.15|19.81|45.63|21.68|35.12|160.01|82.78|
2452561|35610|23677|77081|788648|5815|20582|77081|788648|5815|20582|43|32|49|79|10628.66|744.00|11372.66|88.50|2361.31|8502.92|1658.07|467.67|3193.81|
2452060|60418|10013|83908|793212|2516|8620|83908|793212|2516|8620|73|9|51|9|355.32|10.65|365.97|99.51|193.77|309.12|6.00|40.20|303.93|
2452077|13035|14369|81668|1078154|4240|20373|81668|1078154|4240|20373|65|23|51|58|6574.88|460.24|7035.12|57.17|3221.32|1380.72|4051.44|1142.72|3738.73|
|71745|12301|||2111|24323|||2111||13|4|52||765.16||834.02|32.04|229.40||215.16|351.06|330.30|
2451900|32899|24541|112971|1300813|208|7250|112971|1300813|208|7250|29|36|53|2|97.88|1.95|99.83|22.48|13.64|80.26|5.46|12.16|38.07|
2451958|26993|5513|89631|1375925|1419|46466|89631|1375925|1419|46466|17|26|53|13|1368.77|82.12|1450.89|88.01|727.09|191.62|235.43|941.72|897.22|
||10133|||6738|20460||1500216|||56|29|55|7|70.70|4.94||38.47||42.42|4.24||71.20|
||11242|||||113199|||51007|68|10|56||1717.20|154.54|1871.74|3.62|356.40|||||
2451384|77186|16388|26380|1708805|5983|19608|26380|1708805|5983|19608|70|18|57|19|2002.03|120.12|2122.15|71.12|302.10|1301.31|119.12|581.60|493.34|
2451443|45709|1102|1800|1777124|1248|30619|1800|1777124|1248|30619|56|21|58|9|740.34|22.21|762.55|37.92|174.78|222.10|67.37|450.87|234.91|
2451759|67735|9224|48138|821188|5885|58135|48138|821188|5885|58135|34|28|59|26|789.36|71.04|860.40|6.20|134.94|149.97|421.99|217.40|212.18|
2451560|59013|12139|83883|539803|6923|18843|83883|539803|6923|18843|32|22|63|31|191.58|3.83|195.41|1.63|739.35|42.14|127.02|22.42|744.81|
||20222|36670|103015||||103015|2160|31705|||64|36|1086.12|32.58|1118.70|4.75||||543.61||
2451547|32382|25232|116101|99551|3001|47251|116101|99551|3001|47251|38|36|66|7|368.97|0.00|368.97|48.34|12.81|99.62|37.70|231.65|61.15|
2452027|26463|14335|49973|277684|1748|30259|49973|277684|1748|30259|29|28|69|57|5985.57|359.13|6344.70|89.65|1056.21|2394.22|2944.90|646.45|1504.99|
2452341|68091|15969|84911|1511560|5409|1658|84911|1511560|5409|1658|67|30|72|20|3750.00|187.50|3937.50|62.87|742.20|187.50|1959.37|1603.13|992.57|
2452196|78918|6591|111224|1559926|6228|22130|111224|1559926|6228|22130|69|2|72|2|72.30|4.33|76.63|96.96|24.44|65.79|5.46|1.05|125.73|
2452538|5244|15433|34195|94659|276|31493|34195|94659|276|31493|21|8|73|4|208.84|0.00|208.84|90.81|202.68|154.54|19.00|35.30|293.49|
2452648|69373|17433|104326|571505|5084|70663|104326|571505|5084|70663|42|8|75|35|2668.05|80.04|2748.09|62.33|361.20|1414.06|463.97|790.02|503.57|
2452670|41829|11989|140961|4573|4185|29397|140961|4573|4185|29397|55|2|75|23|1807.80|0.00|1807.80|14.00|766.36|379.63|1142.53|285.64|780.36|
2451916|34658|21404|16828|990174|2720|49666|16828|990174|2720|49666|14|34|76|72|2581.92|77.45|2659.37|20.09|5286.96|568.02|2013.90|0.00|5384.50|
2451616|51966|1256|626|1703073|4720|53567|626|1703073|4720|53567|70|5|77|8|25.28|0.75|26.03|61.93|0.00|11.12|12.17|1.99|62.68|
||22022|43099||6659||43099|1634079|||||77||1934.50|||45.51|||||838.39|
2451617|28361|19441|939|1603349|4959|39369|939|1603349|4959|39369|70|4|79|21|919.59|18.39|937.98|21.38|509.04|478.18|8.82|432.59|548.81|
2451871|54886|17140|71537|1097050|610|56523|71537|1097050|610|56523|52|18|79|33|606.87|36.41|643.28|32.97|290.73|54.61|276.13|276.13|360.11|
2451726|26757|19111|143212|1794817|4822|69674|143212|1794817|4822|69674|38|34|81|17|371.28|29.70|400.98|28.14|85.68|226.48|50.68|94.12|143.52|
2452486|46513|9151|74862|897323|1384|58245|74862|897323|1384|58245|73|25|83|20|104.00|0.00|104.00|21.18|333.00|86.32|9.19|8.49|354.18|
2452557|65926|2946|136087|1208787|7087|1034|136087|1208787|7087|1034|7|28|83|29|300.15|0.00|300.15|44.01|2552.00|168.08|109.61|22.46|2596.01|
2451280|25318|19822|136396|1857247|3251|57702|136396|1857247|3251|57702|26|34|84|2|96.36|3.85|100.21|85.73|33.88|30.83|43.90|21.63|123.46|
2451393|62509|24352|61660|1078409|3158|20707|61660|1078409|3158|20707|26|1|84|18|265.50|2.65|268.15|49.10|165.24|45.13|103.57|116.80|216.99|
2452735||13773|103006|533478|2797||103006|533478||40469|||85||20.20||||15.50|19.59|||102.28|
2452663|51913|24571|127493|1729053|5813|16973|127493|1729053|5813|16973|67|17|85|34|567.80|5.67|573.47|72.34|1817.30|22.71|196.23|348.86|1895.31|
2451723|72393|7459|7324|159786|601|2216|7324|159786|601|2216|49|9|86|16|56.48|0.00|56.48|78.57|53.60|46.31|2.64|7.53|132.17|
2451599|60380|21571|104909|361910|864|41065|104909|361910|864|41065|62|10|86|22|3938.88|157.55|4096.43|78.70|1140.04|590.83|1941.86|1406.19|1376.29|
2452181|69772|2213|52789|1625335|281|64027|52789|1625335|281|64027|1|31|87|11|1976.59|39.53|2016.12|74.21|951.61|316.25|1278.46|381.88|1065.35|
|67250|9388||254698||20424||254698||||25|91|||89.14|1079.59|||||2.98||
2452382|45230|11239|26884|1353432|7180|15328|26884|1353432|7180|15328|39|9|92|15|54.30|1.62|55.92|48.55|37.95|53.21|1.07|0.02|88.12|
2452555|53480|5535|19174|1417259|6897|16535|19174|1417259|6897|16535|49|25|92|18|1303.56|117.32|1420.88|71.91|477.90|404.10|638.61|260.85|667.13|
2452790|34442|1692|65372|463802|4985|41815|65372|463802|4985|41815|15|10|93|21|1923.81|115.42|2039.23|57.75|72.03|1365.90|530.01|27.90|245.20|
2452775|70628|12702|83176|1018443|4910|59377|83176|1018443|4910|59377|55|5|93|88|11567.60|115.67|11683.27|84.79|5192.88|4280.01|1967.64|5319.95|5393.34|
2452056|77444|11389|41134|701863|3839|11768|41134|701863|3839|11768|63|35|95|11|1553.64|124.29|1677.93|50.63|493.46|450.55|573.60|529.49|668.38|
||12442||253586|7137|69935|58788|253586||69935||14|96|||||||175.30|10.67|||
2452085|44364|85|74385|1635385|3585|29385|74385|1635385|3585|29385|15|26|98|44|96.80|6.77|103.57|87.44|549.56|90.02|2.23|4.55|643.77|
2452151|61395|2061|91425|1792938|51|43517|91425|1792938|51|43517|47|11|98|41|1643.69|0.00|1643.69|42.33|182.45|1380.69|163.06|99.94|224.78|
