cr_returned_date_sk|cr_returned_time_sk|cr_item_sk|cr_refunded_customer_sk|cr_refunded_cdemo_sk|cr_refunded_hdemo_sk|cr_refunded_addr_sk|cr_returning_customer_sk|cr_returning_cdemo_sk|cr_returning_hdemo_sk|cr_returning_addr_sk|cr_call_center_sk|cr_catalog_page_sk|cr_ship_mode_sk|cr_warehouse_sk|cr_reason_sk|cr_order_number|cr_return_quantity|cr_return_amount|cr_return_tax|cr_return_amt_inc_tax|cr_fee|cr_return_ship_cost|cr_refunded_cash|cr_reversed_charge|cr_store_credit|cr_net_loss|remrk
2451035|37877|22454|132022|1502404|6833|61662|62294|1764552|4145|50491|8|18|3|1|2|13|27|54.81|0.00|54.81|7.04|146.07|12.05|40.19|2.57|153.11|
2450867|64669|7256|132022|1502404|6833|61662|56573|1482438|6726|68614|8|43|18|1|18|13|18|100.44|5.02|105.46|70.47|196.92|9.03|82.26|9.15|272.41|
2450952|64639|24046|132957|189998|3839|1327|119061|1639056|2195|35287|1|56|17|1|32|16|40|407.60|32.60|440.20|2.01|296.40|362.76|19.72|25.12|331.01|
2450940|15515|21841|132957|189998|3839|1327|71292|1218513|1645|66377|1|75|13|5|13|16|44|2157.76|43.15|2200.91|46.29|1280.84|1834.09|51.78|271.89|1370.28|
2450986|44014|24968|10003|599432|3708|1937|46895|1075366|3615|19511|4|9|12|1|25|18|10|339.60|30.56|370.16|25.06|157.70|196.96|45.64|97.00|213.32|
2450997|16008|21427|10003|599432|3708|1937|23809|452924|4311|42451|4|33|5|2|36|18|44|2618.44|235.65|2854.09|83.74|5117.64|968.82|65.98|1583.64|5437.03|
2450984|38620|1003|3389|27132|4828|22171|99287|326203|512|32421|4|100|8|2|14|19|44|6201.80|186.05|6387.85|29.08|1162.48|5891.71|173.65|136.44|1377.61|
2451067|22065|22756|119751|1766792|2633|37674|122993|517281|2882|5283|1|100|6|2|8|21|50|1654.00|82.70|1736.70|83.07|1034.00|1223.96|391.33|38.71|1199.77|
2450980|71718|7570|47242|541252|6015|29978|141550|640677|6379|59728|2|30|14|1|2|22|3|12.87|0.90|13.77|84.18|124.62|0.90|9.45|2.52|209.70|
2450997|73516|3874|47242|541252|6015|29978|98346|125760|4274|69988|2|45|3|2|19|22|30|2822.70|28.22|2850.92|25.25|1266.60|1072.62|122.50|1627.58|1320.07|
2450863|71183|14593|47242|541252|6015|29978|14328|1893150|6361|61172|2|21|18|4|12|22|2|64.64|5.17|69.81|66.56|77.08|1.93|52.04|10.67|148.81|
2450911|10436|17404|703|600082|6661|68087|64371|178127|666|52805|7|73|9|3|31|23|8|85.92|1.71|87.63|0.94|50.00|65.29|13.61|7.02|52.65|
2451055|64648|7048|67764|1379528|6492|55056|133473|487719|1868|44817|4|61|11|5|4|26|17|1603.95|128.31|1732.26|92.88|1262.08|914.25|517.27|172.43|1483.27|
2450900|35973|14365|6042|643025|4008|13791|9519|445572|6601|18383|7|52|3|2|22|28|43|793.35|63.46|856.81|97.48|582.65|476.01|193.57|123.77|743.59|
2451065|54503|18800|136262|511666|7070|43274|29422|1020642|2223|11357|7|82|13|4|7|31|28|1098.16|98.83|1196.99|51.07|299.32|680.85|208.65|208.66|449.22|
2450983|7690|13220|22388|174162|3089|67663|54393|1678181|4527|26073|7|22|5|1|29|32|13|419.25|37.73|456.98|27.33|259.87|234.78|184.47|0.00|324.93|
2450896|74103|10418|71486|1309701|1516|39378|83488|1596473|703|61286|2|35|9|4|29|33|1|7.80|0.31|8.11|57.79|7.22|3.51|2.35|1.94|65.32|
2450972|83387|19864|96919|717893|914|29888|68899|733587|4279|4571|2|54|7|4|19|35|32|5100.48|306.02|5406.50|83.98|377.60|5100.48|0.00|0.00|767.60|
2450927|36423|14386|105988|467550|5112|38321|75221|1235634|3167|59500|4|86|19|2|29|36|2|88.24|0.88|89.12|6.73|33.22|1.76|78.69|7.79|40.83|
2450966|47666|14221|105988|467550|5112|38321|77075|1897118|4028|538|4|52|1|1|25|36|69|1440.72|100.85|1541.57|2.22|0.00|720.36|36.01|684.35|103.07|
2450952|75037|15892|817|785079|1788|61250|138849|3803|6272|12388|7|7|9|3|18|37|14|377.58|30.20|407.78|95.44|684.32|332.27|19.93|25.38|809.96|
2450875|20595|1570|14061|1286495|4976|67457|104250|349487|5628|47816|2|103|13|4|22|38|68|9568.28|669.77|10238.05|71.11|2192.32|2105.02|3433.09|4030.17|2933.20|
2451000|37487|9446|12898|1785329|2560|18991|76876|1456966|2056|21099|1|26|15|5|36|39|39|4710.03|0.00|4710.03|53.59|2302.56|3815.12|635.38|259.53|2356.15|
2450953|37170|6655|22283|157402|4874|1146|125523|1865664|3345|19426|4|74|9|5|3|40|40|1108.40|55.42|1163.82|77.46|408.80|1030.81|76.03|1.56|541.68|
2450962|65871|2542|87159|1915909|7059|12962|21338|488417|5969|43168|2|72|11|3|19|42|10|815.70|65.25|880.95|24.41|674.50|40.78|23.24|751.68|764.16|
2451026|77649|23293|25183|1623252|3721|43390|128385|187670|4723|70129|8|58|8|1|30|44|16|405.60|16.22|421.82|22.13|89.44|324.48|55.16|25.96|127.79|
2450932|31349|20071|25183|1623252|3721|43390|10971|1481620|29|32038|8|108|11|5|21|44|20|1854.60|37.09|1891.69|51.41|927.20|1075.66|646.52|132.42|1015.70|
2451047|54565|10783|92305|527683|6708|8486|74217|252890|3009|58728|8|98|18|2|20|45|1|9.89|0.09|9.98|5.19|16.60|5.43|2.14|2.32|21.88|
2450844|74844|15416|92305|527683|6708|8486|47422|1717248|6779|11510|8|27|10|1|31|45|38|1472.50|103.07|1575.57|84.52|17.10|265.05|386.38|821.07|204.69|
2450935|54638|13669|22871|830328|6585|66842|85007|853051|4346|59994|7|78|12|5|35|46|50|1329.50|79.77|1409.27|30.45|52.00|1076.89|166.72|85.89|162.22|
2450953|36814|4636|22871|830328|6585|66842|15246|1490672|3850|32581|7|36|8|4|1|46|70|6902.00|207.06|7109.06|42.78|1401.40|5107.48|1740.68|53.84|1651.24|
2450991|18610|9290|111722|553976|3877|5331|20648|1555212|401|25143|2|74|10|2|33|47|49|3888.64|0.00|3888.64|43.74|3295.74|2605.38|667.29|615.97|3339.48|
2450953|52092|25537|40375|1166269|3010|14504|68422|1491876|7131|36339|1|43|10|5|5|48|10|892.10|26.76|918.86|75.24|1040.80|811.81|72.26|8.03|1142.80|
2450977|56863|11036|33786|196899|2059|35219|116658|678147|7063|65932|8|53|13|2|10|52|14|288.82|5.77|294.59|84.41|151.76|66.42|204.60|17.80|241.94|
2451022|23109|2755|33786|196899|2059|35219|28627|1013398|1201|71404|8|84|7|5|33|52|33|292.05|5.84|297.89|69.38|15.18|122.66|64.36|105.03|90.40|
2450910|46513|17402|109643|1592501|4159|2664|83188|1308684|1449|14567|4|11|2|2|8|55|1|21.25|0.85|22.10|94.74|2.39|17.21|0.20|3.84|97.98|
2450965|71731|8690|113127|1346606|6038|58270|16897|1493518|3358|70445|7|92|12|4|31|56|4|6.04|0.06|6.10|23.32|260.68|2.53|0.42|3.09|284.06|
2450926|44105|349|22732|677128|5571|41567|129757|1779943|862|3028|1|34|5|1|30|57|34|3039.60|60.79|3100.39|61.21|719.78|1215.84|291.80|1531.96|841.78|
2450925|15203|25624|22732|677128|5571|41567|18948|89333|5045|67957|1|85|6|3|34|57|21|82.95|4.14|87.09|57.08|62.16|47.28|15.33|20.34|123.38|
2451021|45152|16136|31940|1030863|6139|17062|132177|42517|4863|2762|4|92|20|1|20|58|37|509.86|0.00|509.86|78.85|963.11|163.15|41.60|305.11|1041.96|
2450889|69632|8749|132363|683276|4942|55055|90719|1594118|4137|44203|4|30|20|1|17|62|14|346.64|10.39|357.03|95.78|186.20|336.24|6.13|4.27|292.37|
2451024|37030|722|132363|683276|4942|55055|4393|1322943|2774|17452|4|47|19|5|12|62|11|126.94|0.00|126.94|71.55|112.75|49.50|56.53|20.91|184.30|
2450899|69296|3886|132363|683276|4942|55055|28799|1828157|6005|25453|4|44|3|1|3|62|33|218.79|17.50|236.29|23.13|464.64|94.07|115.98|8.74|505.27|
2450843|46270|22516|40758|1148029|2853|22124|62919|1126300|3007|49314|7|5|2|4|32|63|54|2701.08|162.06|2863.14|3.08|2132.46|594.23|1896.16|210.69|2297.60|
2450966|37706|23278|40758|1148029|2853|22124|106122|1718117|3509|11748|7|105|5|4|23|63|8|171.20|6.84|178.04|83.12|29.52|20.54|58.75|91.91|119.48|
2450967|42160|14120|119621|1225267|960|59053|90750|1014769|971|38373|7|93|19|1|23|64|11|434.17|26.05|460.22|55.21|248.05|347.33|86.84|0.00|329.31|
2450904|54924|6374|26336|785982|3228|34874|39856|1134477|4252|71980|7|78|18|3|25|66|3|181.65|9.08|190.73|98.27|0.00|56.31|82.72|42.62|107.35|
2450915|19990|18514|26336|785982|3228|34874|97131|1110002|2615|42075|7|64|8|1|9|66|23|458.85|36.70|495.55|35.46|305.90|293.66|165.19|0.00|378.06|
2450899|68157|17719|3214|1227752|1090|53181|84436|1862046|4849|55205|7|102|13|1|32|67|42|7.14|0.57|7.71|30.38|3.78|2.07|1.41|3.66|34.73|
2450928|17521|17632|3214|1227752|1090|53181|31304|1378959|4311|14910|7|63|13|2|7|67|39|721.11|64.89|786.00|45.74|484.38|7.21|35.69|678.21|595.01|
2450993|60949|265|3214|1227752|1090|53181|99612|1195468|3695|5522|7|17|10|2|24|67|28|182.00|12.74|194.74|11.87|49.28|127.40|3.27|51.33|73.89|
2450887|27281|6704|88907|163011|3515|32819|54807|15782|1929|59629|7|79|3|3|30|68|14|732.90|0.00|732.90|24.07|586.32|622.96|107.74|2.20|610.39|
2451012|72342|22507|18376|1694169|6315|63708|985|398527|5033|59092|2|42|10|1|10|71|18|547.02|38.29|585.31|58.57|40.14|54.70|443.08|49.24|137.00|
2450968|20519|23086|90024|589162|653|40144|62744|1117994|786|1531|4|1|13|3|19|73|64|2634.24|210.73|2844.97|91.85|1114.24|2370.81|134.34|129.09|1416.82|
2450918|86370|11602|91448|1738817|4139|8661|57880|698232|4263|57494|1|48|14|5|11|74|5|125.20|10.01|135.21|23.50|262.90|1.25|97.92|26.03|296.41|
2450916|4395|4690|123543|1096330|7070|37457|129572|900814|578|67542|1|76|7|1|7|75|3|101.04|4.04|105.08|46.13|74.91|83.86|6.35|10.83|125.08|
2450963|60432|15442|123543|1096330|7070|37457|102637|1169478|2888|68651|1|48|14|2|11|75|2|117.34|9.38|126.72|89.84|50.88|28.16|8.91|80.27|150.10|
2450890|43293|18562|125674|1087861|448|2635|39074|1540251|1673|55448|8|80|20|5|1|77|3|20.61|0.82|21.43|44.76|18.42|18.34|1.43|0.84|64.00|
2450945|82263|3769|125674|||2635|||6513||8|89|||26|77|10|839.90|50.39|||425.70|||196.55||
2450901|62016|2608|125674|1087861|448|2635|137247|1603603|380|6757|8|39|15|2|33|77|36|197.28|9.86|207.14|39.53|146.52|71.02|47.97|78.29|195.91|
2450932|34973|19540|43641|1516877|960|56596|93008|1059029|5992|30108|2|44|3|1|30|80|40|3567.60|0.00|3567.60|96.68|2583.60|3103.81|398.85|64.94|2680.28|
2450873|73899|9752|43641|1516877|960|56596|24063|1206262|2807|45752|2|63|7|2|17|80|52|2883.40|0.00|2883.40|55.61|1086.80|634.34|787.17|1461.89|1142.41|
2450930|54159|14896|72942|1441792|4242|39139|89208|109514|3643|619|7|32|13|2|22|83|2|129.04|5.16|134.20|98.47|52.36|43.87|44.28|40.89|155.99|
2450991|34791|20545|72942|1441792|4242|39139|86137|1385649|6797|29192|7|97|3|1|26|83|12|406.92|28.48|435.40|81.31|197.64|236.01|111.09|59.82|307.43|
2450974|51666|577|134224|47350|5629|25508|139515|274687|2921|24755|2|55|4|5|7|86|17|1077.29|43.09|1120.38|11.03|1179.97|441.68|603.82|31.79|1234.09|
2450861|82535|13852|134224|47350|5629|25508|65133|1494396|7123|3403|2|25|17|4|16|86|70|5176.50|207.06|5383.56|45.50|1293.60|5072.97|92.14|11.39|1546.16|
2450977|76680|18098|134224|47350|5629|25508|19617|398869|6573|58277|2|16|2|1|31|86|4|623.60|24.94|648.54|12.61|95.24|56.12|380.21|187.27|132.79|
2451021|73402|25138|29977|1492959|5894|70829|81464|1002026|1035|49997|7|67|17|1|7|89|15|763.80|0.00|763.80|4.63|361.80|114.57|253.19|396.04|366.43|
2450949|48909|22969|83024|552511|1551|63838|77912|1698770|416|44462|2|84|7|3|3|92|72|5989.68|539.07|6528.75|69.34|5682.24|1497.42|4402.41|89.85|6290.65|
2450821|76961|15022|83024|552511|1551|63838|107397|1886218|6642|56219|2|81|17|4|31|92|3|159.63|7.98|167.61|75.26|32.46|0.00|1.59|158.04|115.70|
2451024|38828|20714|69204|1098811|5665|32872|69204|1098811|1191|32872|1|77|10|3|22|93|11|648.56|38.91|687.47|70.54|108.02|142.68|318.70|187.18|217.47|
2451027|40911|10900|44093|1871653|1166|7126|135834|469308|147|18633|7|13|11|5|20|95|54|3159.00|31.59|3190.59|1.50|519.48|1200.42|1468.93|489.65|552.57|
2450976|31416|14174|109951|1504890|3382|20721|109951|1504890|429|20721|7|107|11|3|6|97|33|0.00|0.00|0.00|83.44|2611.62|0.00|0.00|0.00|2695.06|
2450994|61592|14380|22659|400535|811|61887|140768|714707|1762|70417|7|89|15|5|14|99|15|91.65|2.74|94.39|68.20|40.80|52.24|24.82|14.59|111.74|
2450877|69684|19588|22659|400535|811|61887|107553|1079964|6880|38596|7|91|4|5|4|99|26|48.10|1.44|49.54|6.32|214.24|23.56|1.47|23.07|222.00|
2450980|48520|23326|73651|896753|655|25357|99147|609116|985|23701|2|10|15|4|9|100|13|352.69|14.10|366.79|52.43|4.29|193.97|80.94|77.78|70.82|
2450930|36885|3055|37623|351944|218|52139|120172|1026902|1465|26075|8|36|11|1|28|101|21|119.49|0.00|119.49|72.97|2033.01|46.60|69.24|3.65|2105.98|
2450985|3015|22730|37623|351944|218|52139|46469|1395145|4004|65216|8|54|12|4|27|101|10|290.10|17.40|307.50|90.31|77.30|168.25|52.39|69.46|185.01|
2450940|66374|24823|29410|698752|4094|23836|116924|615789|900|23164|7|33|10|4|9|102|33|1898.82|151.90|2050.72|94.21|976.47|1253.22|464.83|180.77|1222.58|
2450890|4412|11371|29410|698752|4094|23836|29410|698752|881|23836|7|26|14|4|16|102|1|10.39|0.41|10.80|49.12|14.84|10.39|0.00|0.00|64.37|
2450836|29430|13693|132111|1835190|5916|52195|77957|1480884|1910|30936|2|106|14|2|9|103|9|61.11|3.66|64.77|74.43|48.87|8.55|33.63|18.93|126.96|
2450888|62646|5210|80648|421422|6643|68217|65102|175256|5750|37044|2|84|6|5|14|104|26|70.46|4.22|74.68|4.70|264.94|56.36|2.96|11.14|273.86|
2450875|36699|12313|80648|421422|6643|68217|261|1383491|1012|48133|2|20|9|5|20|104|5|5.30|0.05|5.35|39.83|39.80|4.45|0.84|0.01|79.68|
2450897|23430|17620|65007|621140|4826|48959|70210|248712|4060|69808|8|24|12|5|28|105|12|1153.32|92.26|1245.58|89.75|29.52|542.06|48.90|562.36|211.53|
2450852|77970|15673|103481|663720|3159|20551|115438|519045|5508|63171|1|21|20|3|18|107|21|1340.22|26.80|1367.02|64.34|1235.01|1018.56|192.99|128.67|1326.15|
2450945|59967|24118|4770|285795|5220|48645|107902|92062|5189|59916|8|18|17|2|28|108|42|776.16|69.85|846.01|58.69|161.70|69.85|289.58|416.73|290.24|
2450955|73597|23749|100615|947475|288|71148|70782|17546|4351|34709|7|3|10|3|21|109|35|6849.15|273.96|7123.11|21.77|3311.70|4040.99|673.95|2134.21|3607.43|
2450887|72030|554|124450|1173022|2394|13366|18518|458253|950|66847|1|51|18|3|25|110|50|403.00|32.24|435.24|81.15|76.00|120.90|104.37|177.73|189.39|
2450944|71329|19256|124450|1173022|2394|13366|70518|1494517|158|40199|1|58|2|3|32|110|11|840.40|58.82|899.22|69.08|336.16|344.56|476.00|19.84|464.06|
2450993|27412|24364|3121|1030555|7142|11376|3121|1030555|4570|11376|8|13|16|4|25|111|30|539.10|37.73|576.83|98.54|183.00|285.72|15.20|238.18|319.27|
