ws_sold_date_sk|ws_sold_time_sk|ws_ship_date_sk|ws_item_sk|ws_bill_customer_sk|ws_bill_cdemo_sk|ws_bill_hdemo_sk|ws_bill_addr_sk|ws_ship_customer_sk|ws_ship_cdemo_sk|ws_ship_hdemo_sk|ws_ship_addr_sk|ws_web_page_sk|ws_web_site_sk|ws_ship_mode_sk|ws_warehouse_sk|ws_promo_sk|ws_order_number|ws_quantity|ws_wholesale_cost|ws_list_price|ws_sales_price|ws_ext_discount_amt|ws_ext_sales_price|ws_ext_wholesale_cost|ws_ext_list_price|ws_ext_tax|ws_coupon_amt|ws_ext_ship_cost|ws_net_paid|ws_net_paid_inc_tax|ws_net_paid_inc_ship|ws_net_paid_inc_ship_tax|ws_net_profit|remark
2451178|76807|2451181|15938|52271|1161066|3908|42303|44091|233980|782|60777|10|1|10|2|257|7|47|92.35|229.02|114.51|5381.97|5381.97|4340.45|10763.94|53.81|0.00|4843.35|5381.97|5435.78|10225.32|10279.13|1041.52|
2451178|76807|2451279|4748|52271|1161066|3908|42303|44091|233980|782|60777|40|16|4|2|202|7|44|52.52|126.04|122.25|166.76|5379.00|2310.88|5545.76|430.32|0.00|1219.68|5379.00|5809.32|6598.68|7029.00|3068.12|
2451178|76807|2451240|158|52271|1161066|3908|42303|44091|233980|782|60777|43|2|15|1|141|7|87|4.47|4.82|3.85|84.39|334.95|388.89|419.34|30.14|0.00|108.75|334.95|365.09|443.70|473.84|-53.94|
2451178|76807|2451210|20959|52271|1161066|3908|42303|44091|233980|782|60777|49|10|3|5|125|7|9|70.18|106.67|44.80|556.83|403.20|631.62|960.03|0.00|249.98|470.34|153.22|153.22|623.56|623.56|-478.40|
2451178|76807|2451201|1390|52271|1161066|3908|42303|44091|233980|782|60777|4|1|20|1|231|7|13|49.14|63.88|31.94|415.22|415.22|638.82|830.44|6.56|87.19|215.80|328.03|334.59|543.83|550.39|-310.79|
2451178|76807|2451287|8948|52271|1161066|3908|42303|44091|233980|782|60777|16|20|6|3|78|7|52|51.52|79.85|59.08|1080.04|3072.16|2679.04|4152.20|0.00|0.00|2034.24|3072.16|3072.16|5106.40|5106.40|393.12|
2451178|76807|2451268|4384|52271|1161066|3908|42303|44091|233980|782|60777|73|8|19|5|10|7|1|64.29|145.93|135.71|10.22|135.71|64.29|145.93|0.00|0.00|72.96|135.71|135.71|208.67|208.67|71.42|
2451178|76807|2451243|23086|52271|1161066|3908|42303|44091|233980|782|60777|50|1|20|1|199|7|44|94.24|201.67|12.10|8341.08|532.40|4146.56|8873.48|21.29|0.00|4170.32|532.40|553.69|4702.72|4724.01|-3614.16|
2452190|51596|2452220|12147|57108|1572482|5456|40830|109825|1895897|5705|55479|29|29|19|3|198|8|76|55.63|72.31|54.23|1374.08|4121.48|4227.88|5495.56|82.42|0.00|164.16|4121.48|4203.90|4285.64|4368.06|-106.40|
2452190|51596|2452307|1633|57108|1572482|5456|40830|109825|1895897|5705|55479|41|21|20|1|159|8|33|31.08|66.20|35.74|1005.18|1179.42|1025.64|2184.60|106.14|0.00|633.27|1179.42|1285.56|1812.69|1918.83|153.78|
2452190|51596|2452216|10091|57108|1572482|5456|40830|109825|1895897|5705|55479|41|19|8|1|244|8|55|45.57|83.84|66.23|968.55|3642.65|2506.35|4611.20|218.55|0.00|1383.25|3642.65|3861.20|5025.90|5244.45|1136.30|
2452190|51596|2452213|15543|57108|1572482|5456|40830|109825|1895897|5705|55479|65|17|14|2|296|8|70|34.71|71.50|50.05|1501.50|3503.50|2429.70|5005.00|0.00|0.00|2051.70|3503.50|3503.50|5555.20|5555.20|1073.80|
2452190|51596|2452242|2057|57108|1572482|5456|40830|109825|1895897|5705|55479|35|13|17|5|54|8|10|28.39|67.00|7.37|596.30|73.70|283.90|670.00|1.47|0.00|180.90|73.70|75.17|254.60|256.07|-210.20|
2452190|51596|2452221|14047|57108|1572482|5456|40830|109825|1895897|5705|55479|35|21|2|3|263|8|87|88.69|201.32|30.19|14888.31|2626.53|7716.03|17514.84|0.00|0.00|1050.09|2626.53|2626.53|3676.62|3676.62|-5089.50|
2452190|51596|2452276|11093|57108|1572482|5456|40830|109825|1895897|5705|55479|1|15|13|3|53|8|22|46.33|81.54|44.84|807.40|986.48|1019.26|1793.88|49.32|0.00|807.18|986.48|1035.80|1793.66|1842.98|-32.78|
2452190|51596|2452305|5621|57108|1572482|5456|40830|109825|1895897|5705|55479|21|3|13|4|150|8|96|79.34|204.69|83.92|11593.92|8056.32|7616.64|19650.24|644.50|0.00|392.64|8056.32|8700.82|8448.96|9093.46|439.68|
2452190|51596|2452267|18243|57108|1572482|5456|40830|109825|1895897|5705|55479|37|19|13|1|249|8|91|44.37|108.70|61.95|4254.25|5637.45|4037.67|9891.70|56.37|0.00|197.47|5637.45|5693.82|5834.92|5891.29|1599.78|
2452190|51596|2452309|13569|57108|1572482|5456|40830|109825|1895897|5705|55479|9|17|4|2|103|8|44|70.93|75.18|10.52|2845.04|462.88|3120.92|3307.92|36.66|4.62|1223.64|458.26|494.92|1681.90|1718.56|-2662.66|
2452190|51596|2452211|22753|57108|1572482|5456|40830|109825|1895897|5705|55479|47|11|18|5|244|8|33|54.70|140.03|137.22|92.73|4528.26|1805.10|4620.99|90.56|0.00|2079.33|4528.26|4618.82|6607.59|6698.15|2723.16|
2452190|51596|2452243|18353|57108|1572482|5456|40830|109825|1895897|5705|55479|69|29|3|1|244|8|59|25.18|37.01|0.37|2161.76|21.83|1485.62|2183.59|0.74|3.27|567.58|18.56|19.30|586.14|586.88|-1467.06|
2452190|51596|2452305|5029|57108|1572482|5456|40830|109825|1895897|5705|55479|65|23|5|3|70|8|64|5.57|7.07|1.83|335.36|117.12|356.48|452.48|0.82|105.40|153.60|11.72|12.54|165.32|166.14|-344.76|
2452190|51596|2452192|9707|57108|1572482|5456|40830|109825|1895897|5705|55479|61|5|11|4|141|8|44|58.29|112.49|22.49|3960.00|989.56|2564.76|4949.56|89.06|0.00|247.28|989.56|1078.62|1236.84|1325.90|-1575.20|
2452190|51596|2452242|8329|57108|1572482|5456|40830|109825|1895897|5705|55479|39|9|17|4|302|8|93|18.56|18.93|3.97|1391.28|369.21|1726.08|1760.49|0.00|0.00|704.01|369.21|369.21|1073.22|1073.22|-1356.87|
2450900|56256|2450988|4526|128676|1815460|4197|12581|101248|1833962|39|66023|20|19|10|2|302|9|16|96.14|256.69|10.26|3942.88|164.16|1538.24|4107.04|0.00|0.00|2053.44|164.16|164.16|2217.60|2217.60|-1374.08|
2450900|56256|2450943|13123|128676|1815460|4197|12581|101248|1833962|39|66023|43|20|17|5|58|9|29|76.54|210.48|134.70|2197.62|3906.30|2219.66|6103.92|156.25|0.00|365.98|3906.30|4062.55|4272.28|4428.53|1686.64|
2450900|56256|2450988|25027|128676|1815460|4197|12581|101248|1833962|39|66023|22|4|2|4|281|9|75|77.80|126.03|113.42|945.75|8506.50|5835.00|9452.25|58.69|2637.01|2646.00|5869.49|5928.18|8515.49|8574.18|34.49|
2450900|56256|2451000|25771|128676|1815460|4197|12581|101248|1833962|39|66023|50|13|11|2|261|9|92|47.71|59.16|33.12|2395.68|3047.04|4389.32|5442.72|60.94|0.00|2012.96|3047.04|3107.98|5060.00|5120.94|-1342.28|
2450900|56256|2450994|15736|128676|1815460|4197|12581|101248|1833962|39|66023|13|16|6|5|253|9|30|84.41|243.10|126.41|3500.70|3792.30|2532.30|7293.00|303.38|0.00|802.20|3792.30|4095.68|4594.50|4897.88|1260.00|
2450900|56256|2450983|5326|128676|1815460|4197|12581|101248|1833962|39|66023|26|7|4|4|159|9|94|93.91|145.56|1.45|13546.34|136.30|8827.54|13682.64|8.17|0.00|2325.56|136.30|144.47|2461.86|2470.03|-8691.24|
2450900|56256|2450902|2245|128676|1815460|4197|12581|101248|1833962|39|66023|37|28|13|3|128|9|79|74.37|135.35|102.86|2566.71|8125.94|5875.23|10692.65|162.51|0.00|1496.26|8125.94|8288.45|9622.20|9784.71|2250.71|
2450900|56256|2451020|937|128676|1815460|4197|12581|101248|1833962|39|66023|31|14|9|3|227|9|6|10.40|24.85|12.92|71.58|77.52|62.40|149.10|1.55|0.00|41.70|77.52|79.07|119.22|120.77|15.12|
